customer_id,signup_date,city,acquisition_channel
1,2022-04-13,Mumbai,Referral
2,2023-03-12,Kolkata,Social
3,2024-05-10,Pune,Email
4,2022-09-28,Bangalore,Referral
5,2022-04-17,Mumbai,Email
6,2022-03-13,Bangalore,Referral
7,2023-12-02,Mumbai,Referral
8,2022-01-21,Bangalore,Email
9,2023-09-07,Pune,Organic
10,2022-05-02,Hyderabad,Organic
11,2023-04-12,Ahmedabad,Organic
12,2022-08-03,Chennai,Organic
13,2022-11-27,Bangalore,Referral
14,2023-04-04,Pune,Ads
15,2022-03-29,Bangalore,Email
16,2023-01-08,Hyderabad,Ads
17,2022-04-10,Bangalore,Ads
18,2024-05-21,Pune,Social
19,2023-10-26,Kolkata,Organic
20,2022-05-11,Pune,Referral
21,2023-10-24,Ahmedabad,Organic
22,2022-11-05,Ahmedabad,Organic
23,2024-02-09,Ahmedabad,Ads
24,2022-12-10,Delhi,Social
25,2023-05-07,Hyderabad,Organic
26,2023-02-18,Kolkata,Email
27,2024-03-16,Delhi,Email
28,2023-01-21,Hyderabad,Organic
29,2022-07-11,Kolkata,Ads
30,2022-10-04,Bangalore,Ads
31,2022-06-10,Kolkata,Referral
32,2023-04-05,Pune,Social
33,2022-11-10,Delhi,Ads
34,2022-01-22,Bangalore,Referral
35,2022-09-10,Pune,Email
36,2024-01-18,Hyderabad,Email
37,2024-05-06,Kolkata,Email
38,2023-07-15,Pune,Organic
39,2023-04-20,Bangalore,Social
40,2022-02-28,Delhi,Referral
41,2023-05-26,Delhi,Social
42,2023-11-13,Ahmedabad,Organic
43,2023-04-21,Kolkata,Referral
44,2023-12-01,Pune,Referral
45,2024-02-22,Ahmedabad,Ads
46,2022-07-09,Bangalore,Social
47,2023-11-18,Ahmedabad,Social
48,2023-07-17,Mumbai,Ads
49,2024-05-25,Hyderabad,Email
50,2023-07-21,Ahmedabad,Organic
51,2022-09-01,Hyderabad,Social
52,2024-04-11,Bangalore,Ads
53,2023-05-20,Mumbai,Referral
54,2022-05-11,Delhi,Ads
55,2023-04-30,Kolkata,Email
56,2024-03-29,Chennai,Organic
57,2023-10-09,Chennai,Email
58,2022-01-21,Kolkata,Referral
59,2024-04-20,Bangalore,Referral
60,2022-06-16,Mumbai,Referral
61,2022-10-01,Mumbai,Referral
62,2023-01-23,Hyderabad,Ads
63,2023-08-24,Delhi,Referral
64,2022-11-12,Pune,Referral
65,2022-01-14,Ahmedabad,Ads
66,2022-08-30,Mumbai,Referral
67,2024-02-16,Kolkata,Email
68,2022-12-12,Pune,Email
69,2023-07-19,Chennai,Social
70,2024-06-16,Pune,Email
71,2022-12-06,Delhi,Organic
72,2022-04-02,Kolkata,Organic
73,2023-01-02,Delhi,Organic
74,2023-03-31,Pune,Ads
75,2023-03-04,Ahmedabad,Email
76,2023-05-24,Bangalore,Organic
77,2024-02-15,Mumbai,Social
78,2022-02-04,Kolkata,Ads
79,2022-07-25,Bangalore,Social
80,2022-03-22,Pune,Email
81,2023-07-16,Mumbai,Referral
82,2024-05-21,Hyderabad,Social
83,2023-01-23,Bangalore,Referral
84,2022-01-02,Bangalore,Ads
85,2023-01-25,Pune,Social
86,2023-07-20,Chennai,Social
87,2022-04-16,Pune,Ads
88,2024-02-11,Bangalore,Ads
89,2024-04-01,Mumbai,Organic
90,2023-04-22,Ahmedabad,Email
91,2023-12-04,Chennai,Social
92,2023-02-06,Pune,Social
93,2023-12-31,Ahmedabad,Ads
94,2023-07-10,Kolkata,Ads
95,2022-06-11,Pune,Email
96,2022-07-21,Bangalore,Ads
97,2022-09-27,Ahmedabad,Referral
98,2024-05-12,Bangalore,Referral
99,2024-03-26,Hyderabad,Referral
100,2022-09-28,Ahmedabad,Referral
101,2023-04-01,Ahmedabad,Email
102,2023-04-07,Pune,Social
103,2023-12-28,Bangalore,Referral
104,2022-09-09,Kolkata,Ads
105,2023-12-03,Delhi,Referral
106,2022-10-23,Chennai,Email
107,2023-12-26,Delhi,Ads
108,2023-12-21,Chennai,Referral
109,2024-01-19,Kolkata,Social
110,2022-12-04,Ahmedabad,Ads
111,2024-05-28,Ahmedabad,Ads
112,2022-02-22,Pune,Social
113,2024-03-02,Hyderabad,Ads
114,2022-08-05,Bangalore,Referral
115,2024-02-03,Bangalore,Ads
116,2022-07-07,Bangalore,Referral
117,2023-01-15,Pune,Social
118,2023-05-08,Chennai,Organic
119,2022-02-10,Ahmedabad,Social
120,2022-06-06,Kolkata,Referral
121,2022-01-15,Bangalore,Email
122,2024-03-23,Delhi,Social
123,2022-03-06,Bangalore,Email
124,2024-05-06,Ahmedabad,Email
125,2024-04-18,Pune,Referral
126,2023-06-05,Kolkata,Referral
127,2022-12-10,Hyderabad,Organic
128,2022-05-09,Kolkata,Ads
129,2023-10-10,Delhi,Social
130,2023-04-17,Bangalore,Referral
131,2022-03-04,Bangalore,Social
132,2022-05-19,Mumbai,Email
133,2023-05-14,Chennai,Ads
134,2023-08-16,Delhi,Organic
135,2023-01-27,Mumbai,Social
136,2023-11-06,Kolkata,Ads
137,2023-02-23,Hyderabad,Organic
138,2022-10-16,Chennai,Social
139,2023-01-14,Delhi,Ads
140,2024-02-12,Bangalore,Referral
141,2023-05-05,Kolkata,Social
142,2022-08-19,Delhi,Ads
143,2022-02-10,Bangalore,Organic
144,2022-01-28,Ahmedabad,Ads
145,2022-05-15,Chennai,Referral
146,2022-07-20,Ahmedabad,Social
147,2024-04-19,Ahmedabad,Social
148,2024-02-19,Bangalore,Social
149,2022-02-02,Hyderabad,Referral
150,2022-02-17,Kolkata,Organic
151,2023-05-18,Pune,Social
152,2023-02-11,Bangalore,Organic
153,2023-07-28,Hyderabad,Ads
154,2023-12-29,Pune,Organic
155,2024-03-15,Kolkata,Organic
156,2022-04-09,Ahmedabad,Social
157,2023-11-15,Chennai,Email
158,2024-05-21,Chennai,Email
159,2023-12-27,Kolkata,Referral
160,2023-07-01,Kolkata,Referral
161,2024-01-09,Delhi,Email
162,2023-09-05,Hyderabad,Ads
163,2023-04-07,Ahmedabad,Social
164,2023-10-05,Hyderabad,Social
165,2024-02-08,Kolkata,Ads
166,2022-01-05,Mumbai,Ads
167,2022-08-06,Mumbai,Email
168,2023-05-18,Pune,Referral
169,2024-02-06,Pune,Ads
170,2023-02-02,Mumbai,Referral
171,2024-05-20,Kolkata,Organic
172,2024-03-05,Kolkata,Social
173,2023-01-28,Pune,Email
174,2022-07-26,Bangalore,Social
175,2022-01-15,Kolkata,Email
176,2024-05-07,Mumbai,Organic
177,2023-07-08,Hyderabad,Social
178,2024-06-10,Kolkata,Organic
179,2023-04-06,Ahmedabad,Email
180,2023-11-22,Kolkata,Ads
181,2023-07-29,Bangalore,Social
182,2024-05-13,Pune,Organic
183,2024-01-13,Kolkata,Social
184,2022-08-29,Chennai,Social
185,2023-07-18,Delhi,Social
186,2022-04-06,Mumbai,Referral
187,2024-06-18,Ahmedabad,Organic
188,2024-01-04,Ahmedabad,Organic
189,2023-04-30,Ahmedabad,Social
190,2023-02-11,Chennai,Ads
191,2022-08-19,Ahmedabad,Social
192,2024-01-19,Ahmedabad,Referral
193,2023-10-17,Pune,Email
194,2022-06-20,Hyderabad,Referral
195,2023-06-25,Delhi,Ads
196,2022-02-05,Chennai,Social
197,2023-06-09,Delhi,Organic
198,2022-06-09,Mumbai,Social
199,2024-04-18,Pune,Ads
200,2023-11-30,Kolkata,Organic
201,2022-08-31,Hyderabad,Referral
202,2022-03-27,Pune,Email
203,2024-03-06,Delhi,Email
204,2023-08-01,Chennai,Social
205,2023-11-13,Mumbai,Referral
206,2023-07-11,Mumbai,Ads
207,2023-07-28,Pune,Email
208,2023-10-08,Kolkata,Referral
209,2024-03-06,Chennai,Social
210,2022-01-28,Kolkata,Organic
211,2023-09-12,Kolkata,Social
212,2023-07-10,Ahmedabad,Social
213,2022-12-06,Chennai,Referral
214,2024-03-08,Delhi,Email
215,2022-11-27,Pune,Referral
216,2023-10-02,Pune,Organic
217,2023-05-21,Ahmedabad,Referral
218,2022-12-14,Bangalore,Ads
219,2023-04-18,Pune,Social
220,2022-08-19,Mumbai,Email
221,2022-07-09,Delhi,Organic
222,2022-08-13,Chennai,Social
223,2023-01-20,Pune,Referral
224,2023-01-12,Delhi,Ads
225,2022-10-10,Ahmedabad,Referral
226,2023-09-25,Pune,Social
227,2023-09-20,Chennai,Organic
228,2024-01-15,Hyderabad,Email
229,2022-09-16,Chennai,Social
230,2022-12-25,Chennai,Organic
231,2023-12-11,Chennai,Social
232,2023-04-01,Pune,Ads
233,2023-02-15,Bangalore,Referral
234,2023-10-11,Chennai,Email
235,2022-11-14,Ahmedabad,Organic
236,2023-11-08,Mumbai,Email
237,2022-08-13,Mumbai,Email
238,2024-03-29,Ahmedabad,Email
239,2022-08-22,Delhi,Organic
240,2023-11-15,Bangalore,Organic
241,2023-10-26,Delhi,Email
242,2024-04-06,Ahmedabad,Referral
243,2023-01-09,Mumbai,Social
244,2023-11-03,Kolkata,Email
245,2023-08-31,Mumbai,Ads
246,2023-04-17,Hyderabad,Email
247,2022-08-21,Chennai,Organic
248,2023-11-23,Kolkata,Social
249,2022-04-23,Mumbai,Ads
250,2024-04-09,Pune,Social
251,2023-05-12,Pune,Social
252,2023-03-18,Delhi,Ads
253,2023-07-18,Kolkata,Email
254,2022-09-25,Delhi,Email
255,2023-05-25,Chennai,Email
256,2024-03-17,Chennai,Referral
257,2023-01-21,Hyderabad,Email
258,2023-01-22,Ahmedabad,Ads
259,2022-04-23,Ahmedabad,Referral
260,2023-09-05,Bangalore,Email
261,2023-09-17,Delhi,Referral
262,2022-03-22,Chennai,Ads
263,2023-11-30,Ahmedabad,Email
264,2022-04-23,Delhi,Organic
265,2022-01-02,Chennai,Ads
266,2023-10-04,Mumbai,Social
267,2022-08-08,Delhi,Social
268,2023-07-20,Mumbai,Ads
269,2024-05-04,Delhi,Social
270,2024-01-06,Bangalore,Ads
271,2022-08-13,Hyderabad,Organic
272,2023-01-20,Pune,Ads
273,2023-02-07,Ahmedabad,Email
274,2023-09-30,Pune,Email
275,2022-05-10,Pune,Referral
276,2022-02-22,Mumbai,Social
277,2023-11-15,Kolkata,Social
278,2023-12-31,Chennai,Ads
279,2023-11-03,Pune,Social
280,2023-12-11,Bangalore,Email
281,2023-02-20,Pune,Organic
282,2022-09-04,Delhi,Ads
283,2024-04-15,Mumbai,Social
284,2023-03-15,Kolkata,Email
285,2022-07-22,Delhi,Referral
286,2022-07-03,Kolkata,Social
287,2022-05-03,Delhi,Organic
288,2023-02-05,Delhi,Organic
289,2024-02-06,Ahmedabad,Social
290,2022-10-21,Hyderabad,Social
291,2022-10-07,Hyderabad,Email
292,2024-04-16,Chennai,Social
293,2024-06-02,Mumbai,Referral
294,2023-09-02,Bangalore,Email
295,2022-07-17,Bangalore,Ads
296,2023-05-26,Bangalore,Referral
297,2024-01-22,Ahmedabad,Email
298,2022-05-24,Delhi,Email
299,2023-09-01,Hyderabad,Organic
300,2022-07-20,Mumbai,Email
301,2022-05-04,Delhi,Referral
302,2022-07-06,Kolkata,Social
303,2022-11-22,Hyderabad,Referral
304,2023-04-09,Hyderabad,Ads
305,2022-12-15,Pune,Email
306,2024-02-10,Pune,Email
307,2023-10-22,Ahmedabad,Email
308,2024-02-03,Mumbai,Email
309,2023-02-07,Kolkata,Organic
310,2022-12-12,Mumbai,Organic
311,2023-05-26,Mumbai,Social
312,2022-05-27,Ahmedabad,Email
313,2022-05-28,Ahmedabad,Ads
314,2024-05-13,Delhi,Social
315,2023-12-12,Chennai,Email
316,2024-03-30,Ahmedabad,Organic
317,2023-05-04,Mumbai,Ads
318,2023-10-02,Pune,Social
319,2023-07-05,Chennai,Ads
320,2022-12-04,Delhi,Email
321,2024-05-21,Chennai,Referral
322,2023-10-03,Bangalore,Ads
323,2024-02-18,Kolkata,Ads
324,2023-04-18,Chennai,Organic
325,2022-05-31,Mumbai,Email
326,2023-02-19,Delhi,Ads
327,2022-10-25,Kolkata,Email
328,2023-09-03,Mumbai,Organic
329,2022-09-20,Kolkata,Email
330,2024-02-03,Pune,Organic
331,2022-05-24,Bangalore,Organic
332,2022-12-12,Pune,Social
333,2023-09-16,Mumbai,Email
334,2023-07-26,Mumbai,Referral
335,2024-05-30,Mumbai,Social
336,2022-01-02,Hyderabad,Organic
337,2024-06-15,Bangalore,Referral
338,2022-10-31,Kolkata,Ads
339,2022-09-11,Ahmedabad,Ads
340,2023-10-14,Mumbai,Social
341,2023-03-29,Mumbai,Referral
342,2022-02-06,Kolkata,Email
343,2022-06-09,Ahmedabad,Referral
344,2022-01-09,Pune,Social
345,2022-08-21,Pune,Email
346,2022-04-09,Mumbai,Email
347,2023-10-21,Delhi,Ads
348,2024-03-26,Hyderabad,Referral
349,2022-07-27,Pune,Email
350,2022-05-11,Delhi,Social
351,2023-02-08,Hyderabad,Ads
352,2022-06-01,Mumbai,Email
353,2022-02-23,Bangalore,Referral
354,2022-04-30,Chennai,Ads
355,2023-11-04,Chennai,Referral
356,2023-09-20,Mumbai,Referral
357,2023-08-10,Pune,Referral
358,2023-09-17,Delhi,Ads
359,2023-02-24,Bangalore,Email
360,2023-02-26,Kolkata,Organic
361,2022-04-14,Hyderabad,Email
362,2024-05-01,Mumbai,Ads
363,2022-09-11,Bangalore,Organic
364,2022-08-15,Ahmedabad,Organic
365,2022-04-22,Bangalore,Organic
366,2023-05-25,Pune,Social
367,2023-04-18,Ahmedabad,Ads
368,2022-04-09,Hyderabad,Social
369,2022-06-02,Ahmedabad,Organic
370,2024-05-10,Bangalore,Social
371,2024-06-14,Pune,Social
372,2024-05-27,Ahmedabad,Ads
373,2022-12-04,Delhi,Referral
374,2023-12-07,Pune,Social
375,2024-04-01,Delhi,Social
376,2022-06-12,Delhi,Organic
377,2023-12-21,Ahmedabad,Organic
378,2023-11-12,Ahmedabad,Organic
379,2022-06-10,Kolkata,Email
380,2023-08-03,Kolkata,Social
381,2024-03-11,Bangalore,Organic
382,2023-02-02,Pune,Ads
383,2022-10-04,Kolkata,Email
384,2024-03-26,Delhi,Referral
385,2023-05-19,Kolkata,Social
386,2024-06-14,Hyderabad,Social
387,2023-01-27,Bangalore,Ads
388,2022-05-15,Pune,Referral
389,2022-07-14,Pune,Referral
390,2023-02-05,Chennai,Email
391,2023-10-02,Pune,Social
392,2022-02-02,Bangalore,Organic
393,2023-11-19,Hyderabad,Ads
394,2023-04-05,Pune,Ads
395,2024-06-01,Chennai,Ads
396,2023-04-15,Bangalore,Ads
397,2023-01-10,Delhi,Organic
398,2022-01-22,Mumbai,Organic
399,2024-01-20,Mumbai,Email
400,2023-11-01,Delhi,Social
401,2022-02-07,Kolkata,Organic
402,2022-08-18,Pune,Email
403,2022-12-31,Ahmedabad,Referral
404,2023-07-17,Mumbai,Social
405,2023-03-14,Kolkata,Organic
406,2024-02-15,Mumbai,Referral
407,2022-10-10,Delhi,Email
408,2022-01-27,Pune,Organic
409,2022-08-14,Pune,Organic
410,2022-10-04,Kolkata,Referral
411,2024-03-08,Delhi,Organic
412,2023-09-01,Kolkata,Ads
413,2022-10-11,Pune,Organic
414,2024-05-28,Ahmedabad,Social
415,2023-04-26,Pune,Referral
416,2023-03-29,Bangalore,Social
417,2024-04-08,Ahmedabad,Email
418,2024-03-26,Kolkata,Social
419,2023-10-21,Bangalore,Ads
420,2023-05-31,Delhi,Ads
421,2023-07-01,Hyderabad,Social
422,2022-07-11,Mumbai,Email
423,2022-02-18,Bangalore,Organic
424,2023-05-27,Mumbai,Ads
425,2022-01-17,Chennai,Social
426,2022-06-21,Delhi,Social
427,2022-08-08,Hyderabad,Social
428,2022-06-07,Chennai,Organic
429,2023-04-22,Chennai,Referral
430,2022-02-15,Pune,Email
431,2023-01-08,Chennai,Referral
432,2023-06-02,Delhi,Email
433,2022-04-09,Bangalore,Email
434,2024-06-10,Delhi,Social
435,2024-01-15,Bangalore,Ads
436,2022-02-06,Chennai,Social
437,2022-10-07,Chennai,Organic
438,2022-12-15,Ahmedabad,Email
439,2023-05-12,Hyderabad,Ads
440,2022-10-29,Bangalore,Email
441,2022-06-30,Chennai,Email
442,2023-08-30,Pune,Social
443,2022-04-09,Ahmedabad,Ads
444,2023-12-01,Mumbai,Ads
445,2022-04-26,Ahmedabad,Email
446,2022-07-10,Hyderabad,Ads
447,2022-09-10,Delhi,Ads
448,2022-06-10,Hyderabad,Social
449,2022-09-13,Mumbai,Referral
450,2022-11-19,Ahmedabad,Organic
451,2022-05-08,Bangalore,Referral
452,2022-01-18,Delhi,Ads
453,2024-03-03,Delhi,Email
454,2024-01-05,Bangalore,Organic
455,2023-07-20,Kolkata,Organic
456,2023-07-24,Kolkata,Email
457,2022-11-19,Hyderabad,Organic
458,2024-05-21,Chennai,Email
459,2023-11-17,Kolkata,Organic
460,2024-03-02,Hyderabad,Referral
461,2023-09-18,Kolkata,Organic
462,2022-10-15,Mumbai,Social
463,2024-05-03,Pune,Email
464,2023-10-25,Chennai,Organic
465,2023-10-01,Hyderabad,Email
466,2022-06-04,Pune,Social
467,2023-05-05,Pune,Organic
468,2023-01-21,Ahmedabad,Organic
469,2024-02-24,Kolkata,Social
470,2022-04-14,Ahmedabad,Social
471,2023-01-28,Bangalore,Social
472,2024-03-21,Mumbai,Email
473,2022-09-03,Mumbai,Social
474,2022-06-25,Mumbai,Email
475,2022-02-08,Chennai,Referral
476,2023-04-22,Delhi,Organic
477,2023-11-13,Chennai,Organic
478,2024-01-29,Hyderabad,Ads
479,2023-06-22,Pune,Referral
480,2024-05-16,Pune,Social
481,2024-03-28,Ahmedabad,Social
482,2023-02-12,Delhi,Referral
483,2023-06-09,Hyderabad,Social
484,2024-04-07,Delhi,Ads
485,2023-05-21,Pune,Email
486,2024-04-04,Kolkata,Organic
487,2022-02-05,Chennai,Referral
488,2023-11-16,Mumbai,Organic
489,2022-01-20,Pune,Email
490,2022-11-17,Bangalore,Referral
491,2024-02-15,Mumbai,Email
492,2023-05-27,Pune,Social
493,2023-02-04,Chennai,Social
494,2023-10-16,Delhi,Social
495,2024-06-01,Kolkata,Email
496,2023-04-16,Kolkata,Email
497,2022-05-23,Mumbai,Email
498,2022-04-02,Chennai,Organic
499,2022-12-20,Kolkata,Email
