"customer_id","signup_date","city","acquisition_channel"
2424,2022-01-10,Chennai,Ads
153,2023-07-28,Hyderabad,Ads
2146,2024-05-18,Mumbai,Organic
54,2022-05-11,Delhi,Ads
3475,2023-10-26,Hyderabad,Social
7513,2024-05-07,Hyderabad,Social
4401,2022-01-25,Pune,Ads
7058,2022-03-29,Ahmedabad,Referral
4720,2023-09-15,Delhi,Organic
4389,2022-01-19,Mumbai,Email
2874,2022-04-24,Ahmedabad,Organic
1799,2023-06-03,Delhi,Referral
944,2023-11-08,Delhi,Ads
1772,2023-12-28,Hyderabad,Referral
5039,2022-10-17,Pune,Email
704,2022-03-03,Mumbai,Social
89,2024-04-01,Mumbai,Organic
3685,2023-06-08,Hyderabad,Email
345,2022-08-21,Pune,Email
3192,2022-06-09,Pune,Ads
6400,2024-02-22,Chennai,Organic
3487,2023-09-24,Mumbai,Social
3702,2022-09-04,Ahmedabad,Referral
6052,2023-03-06,Hyderabad,Ads
6212,2022-07-03,Chennai,Email
3690,2023-07-29,Hyderabad,Email
125,2024-04-18,Pune,Referral
4068,2022-11-28,Pune,Email
378,2023-11-12,Ahmedabad,Organic
4432,2022-02-14,Delhi,Organic
4926,2024-05-25,Delhi,Email
1618,2023-08-16,Delhi,Social
5910,2024-06-11,Delhi,Email
3440,2024-04-28,Delhi,Referral
5304,2023-02-16,Hyderabad,Organic
3127,2023-01-20,Hyderabad,Social
184,2022-08-29,Chennai,Social
7583,2024-02-02,Bangalore,Referral
4746,2023-05-31,Mumbai,Ads
7252,2022-11-22,Bangalore,Email
3448,2022-12-15,Delhi,Referral
6801,2023-09-10,Pune,Social
5780,2022-05-02,Hyderabad,Referral
5919,2023-11-21,Bangalore,Social
42,2023-11-13,Ahmedabad,Organic
4237,2023-11-05,Ahmedabad,Ads
174,2022-07-26,Bangalore,Social
7640,2022-01-09,Hyderabad,Social
5444,2022-07-22,Bangalore,Ads
5230,2023-06-03,Chennai,Email
1261,2022-11-17,Mumbai,Organic
7325,2022-10-26,Hyderabad,Email
518,2024-02-22,Ahmedabad,Organic
3024,2023-04-28,Bangalore,Referral
3535,2022-11-01,Chennai,Email
5017,2022-04-22,Delhi,Referral
1925,2022-08-06,Mumbai,Organic
1783,2023-05-04,Mumbai,Referral
4582,2023-12-14,Mumbai,Ads
6812,2023-09-16,Bangalore,Referral
6778,2023-04-03,Pune,Social
7535,2022-06-04,Pune,Ads
861,2023-04-16,Bangalore,Organic
7379,2022-04-28,Chennai,Email
4310,2023-06-13,Mumbai,Email
2036,2023-06-19,Ahmedabad,Referral
6192,2022-07-11,Bangalore,Organic
3175,2022-06-18,Chennai,Email
1446,2022-05-17,Pune,Organic
1069,2024-04-17,Chennai,Social
1779,2022-03-30,Kolkata,Organic
7258,2023-05-23,Chennai,Social
1642,2023-10-28,Ahmedabad,Referral
77,2024-02-15,Mumbai,Social
3359,2023-06-10,Pune,Referral
4191,2023-03-19,Kolkata,Social
1313,2023-09-08,Kolkata,Email
4953,2024-05-07,Mumbai,Organic
31,2022-06-10,Kolkata,Referral
5566,2024-03-24,Chennai,Organic
4130,2022-12-30,Bangalore,Social
3072,2023-07-18,Pune,Organic
6517,2024-04-14,Hyderabad,Organic
5545,2023-08-18,Chennai,Social
2502,2023-09-30,Hyderabad,Ads
6116,2022-09-21,Hyderabad,Social
2143,2023-08-27,Bangalore,Ads
5733,2023-06-26,Delhi,Email
177,2023-07-08,Hyderabad,Social
5158,2022-05-21,Chennai,Referral
7399,2023-01-02,Mumbai,Referral
7144,2023-11-19,Delhi,Referral
7004,2022-08-27,Chennai,Ads
6753,2024-05-07,Pune,Organic
4321,2024-02-01,Pune,Organic
7082,2023-02-14,Pune,Social
7880,2023-12-24,Kolkata,Ads
5295,2022-08-06,Mumbai,Social
3737,2024-03-08,Mumbai,Organic
1472,2022-06-29,Ahmedabad,Organic
5730,2024-06-17,Kolkata,Referral
4409,2022-05-08,Delhi,Social
1682,2023-09-26,Kolkata,Ads
6211,2022-06-30,Bangalore,Organic
2235,2024-06-07,Kolkata,Referral
5440,2022-03-10,Mumbai,Social
271,2022-08-13,Hyderabad,Organic
6083,2024-03-21,Mumbai,Ads
4141,2022-12-26,Delhi,Email
1595,2024-06-15,Bangalore,Ads
7949,2022-03-08,Kolkata,Organic
599,2023-07-05,Delhi,Ads
3135,2022-05-28,Bangalore,Ads
5245,2022-05-06,Ahmedabad,Social
6005,2023-06-24,Mumbai,Referral
250,2024-04-09,Pune,Social
3955,2022-03-28,Chennai,Referral
5446,2024-04-09,Hyderabad,Referral
1988,2023-11-19,Mumbai,Social
7341,2023-06-07,Kolkata,Organic
4347,2024-04-19,Delhi,Ads
3389,2023-12-05,Ahmedabad,Organic
1711,2024-01-28,Ahmedabad,Ads
5045,2022-10-06,Kolkata,Social
3305,2022-10-29,Mumbai,Ads
7285,2022-11-22,Chennai,Referral
7117,2023-02-25,Delhi,Referral
4601,2022-08-24,Bangalore,Social
1255,2022-06-21,Mumbai,Referral
4528,2023-12-27,Pune,Organic
3442,2023-07-17,Pune,Social
5782,2023-09-11,Delhi,Ads
3016,2022-08-19,Mumbai,Social
5793,2022-05-04,Chennai,Ads
1037,2024-06-01,Bangalore,Social
1802,2023-11-19,Pune,Email
1229,2022-04-28,Hyderabad,Organic
1521,2022-06-24,Kolkata,Social
7330,2022-07-30,Ahmedabad,Email
6282,2023-02-16,Bangalore,Email
4371,2023-11-14,Mumbai,Referral
7533,2023-09-22,Chennai,Organic
6920,2023-10-04,Bangalore,Social
7814,2023-03-11,Delhi,Social
5897,2024-04-17,Delhi,Ads
4791,2023-07-23,Kolkata,Ads
2291,2022-03-25,Kolkata,Referral
7576,2022-05-14,Kolkata,Ads
5571,2023-07-02,Bangalore,Organic
4937,2023-05-14,Mumbai,Social
1760,2023-07-23,Hyderabad,Referral
2570,2023-03-30,Kolkata,Ads
7628,2022-06-24,Chennai,Email
3676,2023-11-19,Pune,Social
4352,2024-01-07,Hyderabad,Referral
3625,2022-04-07,Hyderabad,Social
2258,2024-05-20,Kolkata,Ads
69,2023-07-19,Chennai,Social
1171,2022-11-16,Ahmedabad,Social
4976,2022-04-15,Mumbai,Email
2479,2023-05-05,Chennai,Email
5709,2023-10-30,Bangalore,Ads
3902,2022-10-03,Delhi,Social
7738,2023-12-29,Chennai,Referral
5778,2024-06-02,Bangalore,Email
2803,2024-03-22,Chennai,Social
4697,2024-01-04,Pune,Referral
4103,2022-08-23,Kolkata,Social
4026,2023-07-11,Delhi,Referral
4829,2023-06-02,Chennai,Referral
2679,2022-08-29,Chennai,Organic
6741,2023-02-02,Chennai,Social
1937,2023-06-05,Chennai,Organic
7313,2022-02-21,Chennai,Social
7415,2023-02-18,Mumbai,Organic
4691,2024-03-05,Mumbai,Organic
3544,2023-09-21,Mumbai,Organic
4202,2023-07-17,Hyderabad,Referral
6966,2024-02-26,Kolkata,Ads
2408,2022-05-25,Mumbai,Organic
7135,2023-02-28,Bangalore,Email
6334,2022-02-27,Mumbai,Social
841,2024-02-03,Kolkata,Social
254,2022-09-25,Delhi,Email
7406,2022-06-13,Chennai,Ads
6380,2022-12-30,Pune,Ads
5577,2024-04-27,Delhi,Ads
3078,2024-01-15,Bangalore,Organic
5407,2023-02-23,Ahmedabad,Email
7183,2022-07-25,Bangalore,Social
6578,2023-10-23,Pune,Email
6777,2024-03-08,Kolkata,Referral
608,2024-01-28,Delhi,Social
2846,2022-12-14,Chennai,Social
6156,2022-12-26,Chennai,Referral
2443,2022-10-11,Kolkata,Organic
4888,2022-12-18,Bangalore,Ads
4880,2024-04-27,Delhi,Ads
2638,2024-03-14,Hyderabad,Email
1769,2024-02-15,Hyderabad,Organic
823,2023-05-23,Ahmedabad,Referral
4135,2022-06-05,Mumbai,Social
7332,2023-07-05,Delhi,Referral
6376,2022-05-23,Chennai,Organic
5164,2023-05-30,Chennai,Email
3616,2024-03-06,Hyderabad,Organic
4062,2023-10-21,Pune,Referral
2340,2022-11-28,Mumbai,Organic
2515,2022-12-24,Hyderabad,Ads
3346,2024-05-20,Mumbai,Ads
4273,2022-04-14,Chennai,Referral
3775,2022-05-04,Pune,Ads
2569,2022-01-19,Pune,Organic
1066,2024-04-08,Mumbai,Social
142,2022-08-19,Delhi,Ads
807,2024-01-24,Pune,Email
703,2024-05-30,Kolkata,Organic
1733,2023-12-14,Ahmedabad,Email
7942,2024-02-11,Delhi,Ads
1159,2022-02-03,Hyderabad,Organic
5736,2023-10-20,Pune,Organic
7403,2023-06-25,Hyderabad,Referral
6925,2022-03-13,Hyderabad,Social
7456,2023-03-03,Kolkata,Organic
6267,2022-05-12,Chennai,Social
5306,2023-11-12,Ahmedabad,Organic
6177,2022-06-15,Kolkata,Organic
2315,2022-12-22,Bangalore,Ads
2035,2022-01-31,Ahmedabad,Social
783,2023-10-19,Kolkata,Social
1884,2023-10-27,Hyderabad,Social
4084,2023-12-14,Chennai,Ads
932,2023-02-09,Mumbai,Ads
6523,2022-04-23,Kolkata,Referral
5296,2023-07-28,Delhi,Organic
7289,2023-11-04,Ahmedabad,Email
6745,2024-04-15,Hyderabad,Email
2794,2023-03-04,Mumbai,Organic
547,2024-02-26,Pune,Email
3632,2023-08-24,Ahmedabad,Ads
5931,2022-08-18,Delhi,Social
3488,2024-04-27,Pune,Referral
4484,2023-03-22,Hyderabad,Organic
4935,2023-10-29,Delhi,Referral
2465,2022-10-09,Ahmedabad,Social
7124,2024-01-24,Bangalore,Ads
3584,2023-08-11,Bangalore,Organic
3112,2024-05-04,Pune,Referral
5037,2022-01-04,Kolkata,Email
3283,2022-05-16,Bangalore,Social
411,2024-03-08,Delhi,Organic
5531,2022-05-01,Mumbai,Social
2430,2024-02-17,Delhi,Email
1934,2022-02-16,Ahmedabad,Social
366,2023-05-25,Pune,Social
1435,2023-09-14,Pune,Social
2751,2022-09-11,Kolkata,Organic
4092,2023-09-21,Kolkata,Email
5515,2022-07-04,Bangalore,Referral
7947,2023-09-09,Bangalore,Organic
3248,2024-02-20,Delhi,Referral
552,2023-04-19,Mumbai,Organic
1697,2022-10-23,Mumbai,Organic
7264,2023-12-25,Chennai,Ads
1831,2023-05-12,Ahmedabad,Email
6216,2022-03-30,Delhi,Organic
5196,2024-06-18,Pune,Email
4689,2023-08-27,Chennai,Organic
6932,2022-01-12,Ahmedabad,Social
481,2024-03-28,Ahmedabad,Social
2940,2024-04-01,Delhi,Organic
1962,2022-09-24,Hyderabad,Organic
587,2022-10-12,Hyderabad,Email
1333,2023-08-02,Kolkata,Referral
6086,2022-01-08,Chennai,Social
6441,2024-03-27,Delhi,Referral
374,2023-12-07,Pune,Social
7808,2024-03-23,Delhi,Referral
4805,2022-09-05,Pune,Social
3834,2023-10-24,Chennai,Ads
2628,2023-03-03,Delhi,Referral
938,2023-10-07,Pune,Organic
3816,2023-09-04,Mumbai,Social
7691,2022-06-04,Bangalore,Referral
5076,2023-02-24,Mumbai,Ads
3751,2022-03-16,Hyderabad,Organic
6446,2022-04-14,Delhi,Social
371,2024-06-14,Pune,Social
7041,2022-06-30,Ahmedabad,Referral
3097,2022-01-29,Mumbai,Social
4879,2022-09-02,Ahmedabad,Ads
2668,2022-12-11,Delhi,Email
1160,2023-09-15,Ahmedabad,Referral
5431,2024-01-27,Bangalore,Referral
