order_id,customer_id,product_id,order_date,quantity,discount_pct,payment_method,payment_status,shipping_cost,return_flag
1,4335,270,2023-04-20,2,20.0,UPI,Refunded,73.59,0
2,6885,220,2023-11-12,1,0.0,NetBanking,Completed,79.06,1
3,2693,40,2023-06-06,3,0.0,UPI,Completed,143.77,0
4,7293,289,2023-02-26,1,10.0,NetBanking,Completed,141.69,0
5,5685,79,2023-09-03,4,20.0,NetBanking,Completed,112.51,0
6,3672,239,2023-08-01,2,20.0,NetBanking,Completed,135.16,0
7,7778,60,2024-11-30,3,20.0,COD,Failed,89.7,0
8,882,237,2023-04-23,2,0.0,UPI,Completed,72.02,0
9,6751,76,2023-11-18,4,0.0,UPI,Completed,104.3,1
10,2236,39,2023-02-20,2,20.0,COD,Failed,63.72,0
11,4984,199,2024-06-05,2,15.0,UPI,Completed,64.9,0
12,5376,105,2024-08-25,1,20.0,Card,Completed,121.25,0
13,7753,70,2023-02-20,4,15.0,UPI,Completed,73.51,0
14,3035,282,2023-08-31,4,0.0,COD,Completed,144.6,0
15,5020,58,2023-12-18,2,20.0,NetBanking,Completed,51.92,0
16,4890,179,2024-05-07,3,20.0,NetBanking,Completed,64.22,0
17,2578,222,2024-11-18,2,15.0,UPI,Completed,83.64,0
18,676,144,2023-02-26,3,5.0,NetBanking,Failed,41.08,0
19,2440,27,2024-03-11,1,0.0,COD,Completed,88.56,1
20,1682,161,2023-08-24,2,0.0,NetBanking,Completed,95.24,0
21,5588,151,2023-11-09,1,0.0,UPI,Completed,143.86,0
22,5946,173,2024-12-27,2,20.0,COD,Failed,94.68,0
23,1277,211,2023-01-12,1,20.0,Card,Completed,108.14,0
24,4768,22,2024-04-05,4,0.0,COD,Completed,63.98,0
25,7005,298,2024-04-17,3,5.0,NetBanking,Completed,90.73,0
26,7729,33,2024-03-25,3,20.0,NetBanking,Completed,129.46,0
27,3248,109,2024-02-29,1,15.0,COD,Completed,42.65,0
28,6610,47,2024-05-23,4,10.0,Card,Completed,41.96,0
29,4935,96,2024-11-24,4,15.0,Card,Completed,60.87,0
30,3649,125,2023-12-17,1,15.0,UPI,Completed,70.23,0
31,7132,295,2024-02-06,2,10.0,NetBanking,Refunded,44.65,0
32,1313,25,2024-04-06,3,20.0,UPI,Completed,136.47,0
33,1074,82,2023-10-29,2,15.0,NetBanking,Refunded,81.61,0
34,4100,58,2023-01-11,1,0.0,NetBanking,Completed,66.0,1
35,1655,26,2023-12-25,2,5.0,NetBanking,Completed,148.11,0
36,6996,297,2023-08-30,4,10.0,Card,Completed,72.22,0
37,6005,44,2024-10-08,2,20.0,COD,Completed,53.03,0
38,7668,85,2023-02-14,3,20.0,COD,Failed,113.18,0
39,3748,22,2023-01-30,2,30.0,COD,Completed,117.0,0
40,4089,226,2023-12-28,4,0.0,NetBanking,Completed,125.5,0
41,7391,37,2024-06-23,3,0.0,NetBanking,Completed,110.03,1
42,1894,101,2023-12-24,3,0.0,NetBanking,Refunded,132.62,1
43,7836,142,2024-07-21,1,20.0,COD,Completed,55.37,0
44,6019,4,2023-05-09,4,20.0,NetBanking,Completed,41.52,0
45,1286,24,2023-12-10,1,15.0,COD,Completed,103.14,0
46,7853,191,2023-11-12,3,0.0,UPI,Completed,90.77,0
47,535,269,2024-03-07,4,30.0,NetBanking,Completed,59.34,0
48,7047,27,2023-01-28,3,10.0,Card,Completed,94.75,0
49,3448,81,2023-07-02,3,20.0,COD,Completed,107.66,1
50,5181,121,2024-09-01,4,5.0,NetBanking,Completed,99.24,0
51,1380,69,2023-12-03,3,10.0,NetBanking,Completed,40.99,0
52,646,72,2023-03-29,3,10.0,Card,Completed,52.46,1
53,24,246,2024-03-18,2,15.0,NetBanking,Completed,55.52,0
54,5413,246,2024-06-24,4,20.0,Card,Completed,72.58,0
55,4653,253,2024-03-01,1,15.0,Card,Completed,114.1,0
56,6835,73,2024-12-04,3,5.0,Card,Completed,78.57,0
57,4452,274,2024-10-27,4,30.0,UPI,Completed,49.45,1
58,6104,16,2024-05-03,2,0.0,COD,Completed,76.32,0
59,4966,179,2023-08-24,2,10.0,NetBanking,Completed,57.78,0
60,7085,40,2023-01-11,4,5.0,COD,Completed,84.72,0
61,4671,39,2024-10-17,3,20.0,NetBanking,Completed,45.02,0
62,4125,56,2024-02-24,2,10.0,COD,Failed,126.05,0
63,6501,233,2023-10-12,3,0.0,UPI,Completed,79.06,0
64,365,54,2023-12-13,1,10.0,UPI,Completed,41.77,0
65,2656,172,2024-08-30,2,20.0,Card,Completed,40.13,0
66,409,189,2024-02-15,3,10.0,COD,Completed,61.95,0
67,7434,43,2023-09-24,4,5.0,NetBanking,Completed,122.62,0
68,1315,4,2024-11-15,3,5.0,COD,Completed,41.29,0
69,6711,261,2023-07-19,2,30.0,NetBanking,Completed,145.51,1
70,5273,58,2024-11-19,3,0.0,NetBanking,Completed,61.5,1
71,219,37,2023-12-29,3,15.0,Card,Completed,69.28,0
72,6317,235,2023-11-20,1,30.0,NetBanking,Completed,50.14,0
73,4704,265,2024-03-11,1,0.0,COD,Failed,63.15,0
74,7803,15,2023-05-01,2,0.0,UPI,Completed,70.52,0
75,5132,88,2023-07-23,2,15.0,COD,Completed,40.18,0
76,1540,99,2024-11-02,2,0.0,Card,Completed,88.65,0
77,3434,105,2023-07-06,1,0.0,NetBanking,Completed,46.16,0
78,4954,217,2024-12-16,4,5.0,Card,Completed,110.92,0
79,1603,191,2024-12-04,1,0.0,Card,Completed,80.31,0
80,2705,215,2024-12-28,4,5.0,Card,Completed,60.66,0
81,5065,198,2023-03-25,4,20.0,Card,Refunded,132.71,0
82,5597,105,2023-11-02,2,5.0,COD,Completed,129.8,1
83,3649,27,2023-08-22,1,10.0,UPI,Refunded,130.46,1
84,1106,182,2023-01-07,3,5.0,COD,Completed,104.04,0
85,5737,83,2024-09-18,4,0.0,COD,Completed,107.41,1
86,5813,159,2024-06-01,4,5.0,NetBanking,Completed,143.2,0
87,3412,230,2023-07-30,4,0.0,NetBanking,Completed,149.97,1
88,2489,235,2024-07-17,3,30.0,Card,Completed,123.92,0
89,617,288,2024-10-19,4,15.0,UPI,Refunded,106.94,0
90,4322,18,2024-09-14,1,0.0,COD,Completed,48.94,1
91,2419,284,2024-11-07,2,20.0,Card,Completed,86.66,0
92,28,71,2023-09-23,3,0.0,UPI,Completed,135.94,0
93,3056,215,2023-01-21,4,5.0,NetBanking,Refunded,69.18,0
94,5091,117,2024-10-14,4,5.0,UPI,Completed,101.63,0
95,16,100,2023-09-11,3,10.0,COD,Completed,138.28,0
96,3349,88,2024-07-31,2,30.0,NetBanking,Completed,104.97,0
97,333,153,2024-10-19,3,20.0,UPI,Completed,67.77,1
98,4579,295,2023-04-08,2,10.0,COD,Completed,121.04,1
99,7978,177,2023-08-21,3,5.0,NetBanking,Failed,52.49,0
100,4662,132,2024-04-02,3,15.0,COD,Completed,137.37,0
101,7456,122,2023-04-11,1,0.0,Card,Completed,91.99,0
102,2162,211,2023-06-01,4,5.0,Card,Completed,80.64,0
103,2086,68,2024-05-07,4,20.0,UPI,Completed,40.74,0
104,4550,57,2024-06-21,2,20.0,COD,Completed,86.65,0
105,3954,13,2024-08-03,1,10.0,UPI,Completed,130.3,0
106,2790,193,2023-10-24,3,10.0,Card,Completed,56.09,0
107,4262,63,2024-11-02,2,15.0,UPI,Completed,84.09,0
108,6838,153,2024-06-03,4,0.0,UPI,Completed,47.26,0
109,2253,23,2023-01-18,4,10.0,Card,Completed,116.4,0
110,4974,30,2024-11-28,3,10.0,Card,Completed,140.9,0
111,245,189,2024-10-02,1,20.0,UPI,Completed,144.05,1
112,1895,109,2024-10-25,4,0.0,COD,Completed,145.52,0
113,1357,60,2023-06-24,1,0.0,COD,Completed,75.14,0
114,943,66,2024-07-28,3,10.0,UPI,Completed,60.45,0
115,3468,166,2024-02-08,3,10.0,UPI,Completed,85.78,1
116,6965,141,2023-01-26,4,0.0,Card,Completed,65.68,0
117,6651,52,2023-04-24,1,10.0,NetBanking,Completed,109.05,0
118,6049,180,2023-08-10,3,0.0,COD,Completed,148.05,0
119,7068,32,2023-04-11,4,5.0,COD,Completed,79.7,0
120,3193,214,2023-12-13,2,10.0,UPI,Failed,42.14,0
121,5379,265,2024-02-27,2,20.0,Card,Completed,65.44,0
122,1746,17,2023-01-23,2,10.0,COD,Completed,107.71,0
123,4506,126,2023-12-12,3,0.0,NetBanking,Refunded,80.94,0
124,2358,82,2023-01-05,1,15.0,Card,Completed,99.93,1
125,3880,40,2023-01-14,2,5.0,Card,Completed,69.03,0
126,3778,104,2023-04-09,2,20.0,UPI,Completed,146.64,1
